iter	Passed	Remaining
0	142	142146
1	143	71423
2	143	47771
3	144	35937
4	144	28835
5	145	24098
6	146	20714
7	146	18176
8	147	16206
9	147	14628
10	148	13338
11	148	12265
12	149	11353
13	150	10571
14	150	9895
15	151	9302
16	151	8778
17	152	8313
18	152	7895
19	153	7520
20	154	7181
21	154	6880
22	155	6601
23	156	6345
24	156	6113
25	157	5898
26	158	5696
27	158	5508
28	159	5332
29	159	5169
30	160	5017
31	161	4873
32	161	4737
33	162	4609
34	162	4488
35	163	4374
36	163	4267
37	164	4165
38	165	4068
39	165	3980
40	166	3903
41	167	3821
42	168	3741
43	168	3665
44	169	3599
45	170	3529
46	170	3462
47	171	3400
48	172	3343
49	172	3285
50	173	3229
51	174	3174
52	174	3121
53	175	3070
54	176	3025
55	176	2978
56	177	2932
57	177	2887
58	178	2844
59	178	2802
60	179	2762
61	179	2722
62	180	2685
63	181	2648
64	181	2616
65	182	2582
66	183	2549
67	183	2516
68	184	2487
69	185	2462
70	185	2432
71	186	2404
72	187	2375
73	187	2348
74	188	2321
75	188	2295
76	189	2270
77	189	2245
78	190	2221
79	191	2197
80	191	2174
81	192	2152
82	192	2127
83	193	2105
84	193	2084
85	194	2064
86	194	2044
87	195	2024
88	195	2005
89	196	1987
90	197	1968
91	197	1950
92	198	1932
93	200	1929
94	201	1914
95	201	1899
96	202	1883
97	203	1868
98	203	1853
99	204	1838
100	204	1823
101	205	1808
102	206	1794
103	206	1780
104	207	1766
105	207	1752
106	208	1738
107	208	1724
108	209	1711
109	209	1698
110	210	1686
111	211	1673
112	211	1661
113	212	1648
114	212	1636
115	213	1625
116	213	1613
117	214	1602
118	215	1591
119	215	1580
120	216	1570
121	216	1559
122	217	1549
123	217	1538
124	218	1528
125	218	1518
126	219	1508
127	219	1498
128	220	1488
129	221	1479
130	221	1469
131	222	1460
132	222	1451
133	223	1442
134	223	1433
135	224	1424
136	224	1416
137	225	1407
138	225	1399
139	226	1390
140	226	1382
141	227	1373
142	227	1365
143	228	1358
144	229	1350
145	229	1343
146	230	1336
147	231	1331
148	231	1324
149	232	1317
150	233	1310
151	233	1303
152	234	1296
153	234	1289
154	235	1282
155	235	1275
156	236	1268
157	236	1262
158	237	1255
159	237	1249
160	238	1241
161	238	1235
162	239	1229
163	239	1222
164	240	1216
165	240	1210
166	241	1204
167	241	1198
168	242	1192
169	243	1186
170	243	1181
171	244	1175
172	244	1170
173	245	1165
174	246	1160
175	246	1155
176	247	1150
177	247	1144
178	248	1139
179	248	1134
180	249	1129
181	250	1124
182	250	1118
183	251	1113
184	251	1108
185	252	1103
186	252	1099
187	253	1094
188	253	1089
189	254	1085
190	255	1080
191	255	1075
192	256	1071
193	256	1066
194	257	1062
195	257	1058
196	258	1053
197	259	1049
198	259	1045
199	260	1041
200	260	1036
201	261	1032
202	261	1028
203	262	1024
204	263	1020
205	263	1016
206	264	1012
207	264	1007
208	265	1003
209	265	999
210	266	995
211	266	991
212	267	987
213	267	983
214	268	979
215	268	976
216	269	972
217	269	968
218	270	964
219	271	961
220	271	957
221	272	953
222	272	950
223	273	947
224	274	944
225	274	940
226	275	937
227	276	934
228	276	931
229	277	927
230	277	924
231	278	920
232	278	917
233	279	914
234	279	910
235	280	907
236	280	904
237	281	900
238	281	897
239	282	894
240	282	890
241	283	887
242	284	885
243	284	882
244	285	879
245	285	875
246	286	872
247	286	869
248	287	867
249	288	864
250	288	862
251	289	859
252	290	856
253	290	853
254	291	850
255	291	847
256	293	847
257	293	845
258	294	842
259	294	839
260	295	836
261	296	833
262	296	831
263	297	828
264	297	825
265	298	822
266	298	820
267	299	817
268	299	814
269	300	811
270	300	809
271	301	806
272	301	803
273	302	801
274	303	799
275	303	797
276	304	794
277	305	792
278	305	790
279	306	787
280	306	785
281	307	782
282	307	780
283	308	777
284	309	775
285	309	773
286	310	770
287	310	768
288	311	765
289	311	763
290	312	760
291	312	758
292	313	756
293	313	753
294	314	751
295	314	748
296	315	746
297	315	744
298	316	741
299	317	740
300	318	738
301	319	737
302	319	735
303	320	733
304	320	731
305	321	729
306	322	727
307	322	725
308	323	722
309	323	720
310	324	718
311	324	716
312	325	714
313	325	712
314	326	709
315	327	707
316	327	705
317	328	703
318	328	701
319	329	700
320	330	698
321	330	696
322	331	694
323	331	692
324	332	690
325	333	688
326	333	686
327	334	684
328	334	682
329	335	680
330	335	678
331	336	676
332	336	674
333	337	672
334	337	670
335	338	668
336	338	666
337	339	664
338	339	662
339	340	660
340	340	658
341	341	656
342	341	654
343	342	653
344	343	651
345	343	649
346	344	647
347	344	645
348	345	643
349	345	642
350	346	640
351	348	640
352	348	639
353	349	638
354	350	636
355	351	635
356	351	633
357	352	631
358	352	630
359	353	628
360	354	626
361	354	624
362	355	623
363	355	621
364	356	619
365	356	618
366	357	616
367	357	614
368	358	613
369	359	611
370	359	609
371	360	607
372	360	606
373	361	604
374	361	603
375	362	601
376	363	600
377	363	598
378	364	596
379	364	595
380	365	593
381	366	592
382	366	590
383	367	589
384	367	587
385	368	585
386	368	584
387	369	582
388	370	581
389	370	579
390	371	578
391	371	576
392	372	574
393	372	573
394	373	571
395	373	570
396	374	568
397	374	566
398	375	565
399	375	563
400	376	562
401	377	561
402	377	559
403	378	558
404	378	556
405	379	555
406	379	553
407	380	552
408	380	550
409	381	549
410	382	547
411	382	545
412	383	544
413	383	543
414	384	541
415	384	540
416	385	538
417	385	537
418	386	535
419	386	534
420	387	532
421	387	531
422	388	529
423	388	528
424	389	526
425	389	525
426	390	523
427	391	523
428	393	523
429	394	522
430	394	521
431	395	520
432	396	518
433	396	517
434	397	515
435	397	514
436	398	513
437	399	512
438	399	510
439	400	509
440	400	507
441	401	506
442	401	505
443	402	503
444	402	502
445	403	501
446	403	499
447	404	498
448	405	497
449	405	495
450	406	494
451	406	493
452	407	492
453	408	490
454	408	489
455	409	488
456	409	486
457	410	485
458	410	484
459	411	482
460	411	481
461	412	480
462	413	479
463	413	477
464	414	476
465	414	475
466	415	473
467	415	472
468	416	471
469	416	470
470	417	468
471	417	467
472	418	466
473	418	464
474	419	463
475	419	462
476	420	461
477	421	459
478	421	458
479	422	457
480	422	456
481	423	455
482	424	453
483	424	452
484	425	451
485	426	450
486	426	449
487	427	448
488	427	446
489	428	445
490	428	444
491	429	443
492	429	441
493	430	440
494	430	439
495	431	438
496	431	437
497	432	436
498	433	434
499	433	433
500	434	432
501	434	431
502	435	430
503	436	429
504	437	428
505	437	427
506	438	426
507	438	425
508	439	423
509	440	422
510	440	421
511	441	420
512	441	419
513	442	418
514	443	417
515	443	416
516	444	415
517	444	413
518	445	412
519	445	411
520	446	410
521	446	409
522	447	407
523	447	406
524	448	405
525	448	404
526	449	403
527	450	402
528	450	401
529	451	400
530	451	399
531	452	398
532	452	396
533	453	395
534	454	394
535	454	393
536	455	392
537	455	391
538	456	390
539	456	389
540	457	387
541	457	386
542	458	385
543	458	384
544	459	383
545	459	382
546	460	381
547	460	380
548	461	379
549	462	378
550	462	376
551	463	375
552	463	374
553	464	373
554	465	372
555	465	371
556	466	370
557	466	369
558	467	368
559	467	367
560	468	366
561	468	365
562	469	364
563	469	363
564	470	362
565	470	361
566	471	359
567	471	358
568	472	357
569	472	356
570	473	355
571	474	354
572	474	353
573	475	352
574	475	351
575	476	350
576	476	349
577	477	348
578	477	347
579	478	346
580	478	345
581	479	344
582	480	343
583	480	342
584	481	341
585	481	340
586	482	339
587	482	338
588	483	337
589	484	336
590	484	335
591	485	334
592	485	333
593	486	332
594	486	331
595	487	330
596	487	329
597	488	328
598	488	327
599	489	326
600	489	325
601	490	324
602	490	323
603	491	322
604	491	321
605	492	320
606	493	319
607	493	318
608	494	317
609	494	316
610	495	315
611	495	314
612	496	313
613	497	312
614	497	311
615	498	310
616	498	309
617	499	308
618	499	307
619	500	306
620	501	305
621	501	304
622	502	303
623	502	302
624	503	302
625	503	301
626	504	300
627	505	299
628	505	298
629	506	297
630	506	296
631	507	295
632	507	294
633	508	293
634	509	292
635	509	291
636	510	290
637	511	289
638	511	289
639	512	288
640	512	287
641	513	286
642	514	285
643	514	284
644	515	283
645	515	282
646	516	281
647	516	280
648	517	279
649	517	278
650	518	277
651	519	277
652	519	276
653	520	275
654	520	274
655	521	273
656	522	272
657	522	271
658	523	270
659	523	269
660	524	268
661	525	268
662	525	267
663	526	266
664	527	265
665	527	264
666	528	263
667	528	262
668	529	261
669	529	261
670	530	260
671	531	259
672	531	258
673	532	257
674	533	256
675	534	256
676	535	255
677	536	254
678	537	254
679	538	253
680	539	252
681	540	252
682	541	251
683	542	250
684	543	249
685	544	249
686	545	248
687	546	247
688	547	247
689	548	246
690	549	245
691	550	245
692	551	244
693	552	243
694	553	242
695	554	242
696	555	241
697	557	241
698	558	240
699	558	239
700	559	238
701	559	237
702	560	236
703	560	235
704	561	234
705	562	234
706	563	233
707	563	232
708	564	231
709	565	230
710	565	229
711	566	229
712	566	228
713	567	227
714	568	226
715	568	225
716	569	224
717	569	223
718	570	222
719	571	222
720	571	221
721	572	220
722	572	219
723	573	218
724	573	217
725	574	216
726	574	215
727	575	214
728	575	214
729	576	213
730	576	212
731	577	211
732	577	210
733	578	209
734	579	208
735	579	207
736	580	206
737	580	206
738	581	205
739	581	204
740	582	203
741	582	202
742	583	201
743	583	200
744	584	200
745	584	199
746	585	198
747	586	197
748	586	196
749	587	195
750	587	194
751	588	194
752	588	193
753	589	192
754	589	191
755	590	190
756	590	189
757	591	188
758	592	187
759	592	187
760	593	186
761	593	185
762	594	184
763	594	183
764	595	182
765	595	182
766	596	181
767	597	180
768	597	179
769	599	179
770	600	178
771	600	177
772	601	176
773	601	175
774	602	174
775	602	174
776	603	173
777	603	172
778	604	171
779	605	170
780	605	169
781	606	168
782	606	168
783	607	167
784	607	166
785	608	165
786	608	164
787	609	163
788	609	163
789	610	162
790	611	161
791	611	160
792	612	159
793	612	159
794	613	158
795	614	157
796	614	156
797	615	155
798	616	155
799	616	154
800	617	153
801	617	152
802	618	151
803	619	150
804	619	150
805	620	149
806	620	148
807	621	147
808	621	146
809	622	146
810	622	145
811	623	144
812	623	143
813	624	142
814	624	141
815	625	141
816	626	140
817	626	139
818	627	138
819	627	137
820	628	137
821	629	136
822	629	135
823	630	134
824	630	133
825	631	133
826	631	132
827	632	131
828	633	130
829	633	129
830	634	128
831	634	128
832	635	127
833	636	126
834	636	125
835	637	124
836	637	124
837	638	123
838	638	122
839	639	121
840	639	120
841	640	120
842	640	119
843	641	118
844	642	117
845	642	116
846	643	116
847	644	115
848	644	114
849	645	113
850	646	113
851	646	112
852	647	111
853	647	110
854	648	109
855	648	109
856	649	108
857	649	107
858	650	106
859	650	105
860	651	105
861	652	104
862	652	103
863	653	102
864	653	102
865	654	101
866	654	100
867	655	99
868	655	98
869	656	98
870	656	97
871	657	96
872	658	95
873	659	95
874	660	94
875	660	93
876	661	92
877	661	91
878	662	91
879	662	90
880	663	89
881	664	88
882	664	88
883	665	87
884	665	86
885	666	85
886	666	84
887	667	84
888	667	83
889	668	82
890	668	81
891	669	81
892	669	80
893	670	79
894	671	78
895	671	77
896	672	77
897	673	76
898	673	75
899	674	74
900	674	74
901	675	73
902	675	72
903	676	71
904	677	71
905	677	70
906	678	69
907	678	68
908	679	67
909	679	67
910	680	66
911	680	65
912	681	64
913	681	64
914	682	63
915	682	62
916	683	61
917	683	61
918	684	60
919	684	59
920	685	58
921	686	58
922	686	57
923	687	56
924	687	55
925	688	55
926	688	54
927	689	53
928	689	52
929	690	51
930	691	51
931	691	50
932	692	49
933	692	48
934	693	48
935	693	47
936	694	46
937	694	45
938	695	45
939	695	44
940	696	43
941	696	42
942	697	42
943	698	41
944	698	40
945	699	39
946	699	39
947	700	38
948	701	37
949	701	36
950	702	36
951	703	35
952	703	34
953	704	33
954	704	33
955	705	32
956	706	31
957	706	30
958	707	30
959	707	29
960	708	28
961	708	28
962	709	27
963	709	26
964	710	25
965	710	25
966	711	24
967	712	23
968	712	22
969	713	22
970	713	21
971	714	20
972	714	19
973	715	19
974	716	18
975	716	17
976	717	16
977	717	16
978	718	15
979	718	14
980	719	13
981	720	13
982	720	12
983	721	11
984	721	10
985	722	10
986	722	9
987	723	8
988	723	8
989	724	7
990	725	6
991	725	5
992	726	5
993	726	4
994	727	3
995	727	2
996	728	2
997	728	1
998	729	0
999	729	0
